ntaname,street_light_count,area_km2,lights_per_km2,demo_lat,demo_lng,matched_to,match_score,match_type
East Harlem (North),1946,26.119316340160303,74.50424715014026,40.801168060718624,-73.93734582243346,East Harlem North,0.9444444444444444,fuzzy
Central Park,1889,38.312407395132304,49.30517627143427,40.804332551229045,-73.95129428611357,Central Harlem South,0.625,fuzzy
Forest Hills,1883,57.95458198338404,32.490959913055164,40.72143004417155,-73.84767249027793,Forest Hills,1.0,exact
Elmhurst,1866,42.10214372823605,44.32078356971064,40.7394945859165,-73.87711832519282,Elmhurst,1.0,exact
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,1855,60.81150351225171,30.50409696951947,40.67877128940797,-74.00390006853307,Carroll Gardens-Columbia Street-Red Hook,0.6904761904761905,fuzzy
Westerleigh-Castleton Corners,1851,76.52921517397503,24.186841532244824,40.616884641613446,-74.12535268878561,Westerleigh,0.55,fuzzy
New Springville-Willowbrook-Bulls Head-Travis,1828,209.3849966910449,8.730329435672413,40.59586234814858,-74.17636811853525,New Springville-Bloomfield-Travis,0.717948717948718,fuzzy
West New Brighton-Silver Lake-Grymes Hill,1825,85.3588579069527,21.38032355106463,40.63004982985863,-74.10286125150702,New Brighton-Silver Lake,0.7384615384615385,fuzzy
Borough Park,1748,40.48128688624485,43.1804454466084,40.63094925332768,-73.9886605712506,Borough Park,1.0,exact
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,1729,69.2334979241534,24.97346012899929,40.57148853716913,-73.87649471105493,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,1.0,exact
Crown Heights (North),1721,35.41634002286152,48.59338934765934,40.67446929975344,-73.93929041319083,Crown Heights North,0.95,fuzzy
Rockaway Beach-Arverne-Edgemere,1715,50.502502115270914,33.95871349276018,40.5940601122309,-73.78962266309935,Hammels-Arverne-Edgemere,0.6909090909090909,fuzzy
Hunts Point,1700,45.02704752797716,37.75508485080484,40.8120888143296,-73.88554635644437,Hunts Point,1.0,exact
Morris Park,1694,27.83325487394588,60.86244701426269,40.63094925332768,-73.9886605712506,Borough Park,0.6086956521739131,fuzzy
Bedford-Stuyvesant (West),1685,36.90665823926673,45.6557185176752,40.68816813873349,-73.93188771074401,Stuyvesant Heights,0.6046511627906976,fuzzy
Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,1680,186.31132399694357,9.017165269179026,40.58655987380662,-74.1329806924484,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,0.7037037037037037,fuzzy
Maspeth,1669,58.31460850372408,28.62061570546966,40.723994904363686,-73.90233095237254,Maspeth,1.0,exact
South Ozone Park,1667,81.83659334391739,20.369860619618542,40.67615490927328,-73.81945904281719,South Ozone Park,1.0,exact
Ridgewood,1619,42.54911560339031,38.05014456918578,40.70653139100058,-73.90171532195556,Ridgewood,1.0,exact
Williamsbridge-Olinville,1606,36.24228627463955,44.31287772051496,40.88215575728128,-73.85894950836337,Williamsbridge-Olinville,1.0,exact
Grasmere-Arrochar-South Beach-Dongan Hills,1557,80.11301446168292,19.435044486369865,40.600321300345456,-74.07177435374626,Grasmere-Arrochar-Ft. Wadsworth,0.6027397260273972,fuzzy
Soundview-Clason Point,1540,30.323642868734517,50.78545498858357,40.81805467805519,-73.85618751910155,Soundview-Castle Hill-Clason Point-Harding Park,0.6376811594202898,fuzzy
Bensonhurst,1532,48.63493079342947,31.499993420510258,40.61222123098064,-73.9952602221249,Bensonhurst West,0.8148148148148148,fuzzy
East New York-New Lots,1532,46.45749276432268,32.97638139388592,40.6609452253228,-73.87683885477028,East New York,0.7428571428571429,fuzzy
